product_id,product_type,product_name,product_gender_target,product_category,product_season,product_condition,product_like_count,sold,brand_name,product_material,product_color,price_usd,seller_price,seller_earning,buyers_fees,seller_id,seller_country,seller_products_sold,seller_num_products_listed
40829823,Trousers,Trousers Valentino Garavani Black size 52 IT in Cotton ,Men,Men Clothing,All seasons,"Never worn, with tag",3,TRUE,Valentino Garavani,Cotton,Black,159.75,133.13,115.82,,18981646,Italy,163,749
40823715,Shirt,Shirt Giorgio Armani White size 38 EU (tour de cou / collar) in Cotton ,Men,Men Clothing,All seasons,Very good condition,17,TRUE,Giorgio Armani,Cotton,White,33.1,27.58,23.84,,19558095,United Kingdom,87,27
40823146,Pull,Pull Tommy Hilfiger Blue size L International in Cotton ,Men,Men Clothing,All seasons,Very good condition,1,TRUE,Tommy Hilfiger,Cotton,Blue,35.78,29.82,15.98,,24522252,France,1,4
40787033,Wool pull,Wool pull Moncler Grey size L International in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,8,TRUE,Moncler,Wool,Grey,192.34,157.62,137.13,,18370115,Italy,104,78
40820502,Wool suit,Wool suit Boglioli Grey size 46 FR in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,8,TRUE,Boglioli,Wool,Grey,126.52,105.44,91.59,,2653724,France,2,1
40819346,Straight jeans,Straight jeans Roberto Cavalli Blue size 28 US in Cotton ,Men,Men Clothing,All seasons,Good condition,10,TRUE,Roberto Cavalli,Cotton - elasthane,Blue,89.58,74.65,60.8,,22810383,Italy,54,27
40818691,Linen suit,Linen suit Lanvin Blue size 56 IT in Linen ,Men,Men Clothing,Spring / Summer,Fair condition,2,TRUE,Lanvin,Linen,Blue,51.95,42.57,26.6,,2543075,Finland,7,6
40772427,Classic coat,Classic coat Moncler Green size 46 IT in Polyester ,Men,Men Clothing,All seasons,Never worn,21,TRUE,Moncler,Polyester,Green,665.82,545.63,474.7,,13821848,Italy,1,0
40774737,Coat,Coat Alyx Beige size M International in Polyester ,Men,Men Clothing,All seasons,Very good condition,14,TRUE,Alyx,Polyester,Beige,134.19,111.83,91.7,,18628320,Netherlands,15,10
40807480,Wool pull,Wool pull Gucci Grey size S International in Wool ,Men,Men Clothing,Autumn / Winter,Very good condition,4,TRUE,Gucci,Wool,Grey,76.68,63.9,50.06,,14893737,Switzerland,26,13
40805621,Shirt,Shirt Hermès White size 17.5 UK ,Men,Men Clothing,All seasons,Fair condition,9,TRUE,Hermès,Cotton,White,94.6,86,83,,6639954,United States,2,1
40803454,Trench,Trench Scotch & Soda Khaki size S International in Polyester ,Men,Men Clothing,All seasons,Very good condition,1,TRUE,Scotch & Soda,Polyester,Khaki,79.88,66.57,52.72,,24915533,France,2,0
40801630,Vest,Vest Just Cavalli Multicolour size 48 IT in Cotton ,Men,Men Clothing,All seasons,Never worn,5,TRUE,Just Cavalli,Cotton,Multicolour,112,93.33,79.49,,5523432,Italy,298,176
40797754,Trench,Trench Sandro Beige size M International in Cotton ,Men,Men Clothing,All seasons,Very good condition,18,TRUE,Sandro,Cotton,Beige,66.58,54.56,51.36,,24911782,France,1,2
40792820,Jacket,Jacket Boggi Blue size M International in Polyester ,Men,Men Clothing,All seasons,Very good condition,1,TRUE,Boggi,Polyester,Blue,28.9,24.08,9.85,,19936767,Switzerland,18,51
40790808,Sweatshirt,Sweatshirt Philipp Plein Black size L International in Cotton ,Men,Men Clothing,All seasons,Never worn,6,TRUE,Philipp Plein,Cotton,Black,362.95,302.46,248.02,,22578140,Slovakia,11,17
